AverageLeftPupilDiameter,RightPupilDiameter
0,0
3.264272,3.537827
2.792076,5.047073
3.542489,4.014587
3.106521,3.942093
2.862457,3.38942
2.524239,3.824554
3.334349,3.614319
2.941661,3.538025
3.720057,3.78479
2.611128,4.548721
3.671261,-1
3.290491,3.609863
1.612623,3.7603
0.6327187,-1
1.71012,3.602203
2.59986,4.103607
2.335726,3.428238
3.356087,-1
2.768904,-1
2.973677,3.312622
3.188768,3.761642
3.17197,4.069992
3.461361,3.368027
3.07223,3.685501
3.667684,3.428696
3.102417,3.283203
3.249332,-1
3.737271,3.878067
3.368229,3.545319
3.680487,3.686798
3.521723,3.782074
3.597564,3.896713
3.271021,3.506577
3.261532,3.970047
3.5014,3.683197
3.507444,3.758698
